id,first_name,last_name,aadhaar_number,gender,age,blood_group,blood_pressure,cholestrol,heart_rate,disabled,diagnosis
287,Tomas,Tackle,889579843231,Male,66,B-,110/70,162.57,99,No,Bipolar disorder
288,Karilynn,Ommundsen,543460585120,Bigender,97,B+,120/80,236.17,181,No,Tourette syndrome
289,Chico,Gotthard.sf,221776793249,Male,84,AB+,110/70,277.86,99,No,Diverticulitis
290,Kaleb,Benyon,823062556325,Male,26,B-,110/70,214.39,193,No,Pancreatic cancer
291,Chrisse,Lock,530353753766,Male,53,O-,125/85,288.33,125,No,Chronic obstructive pulmonary disease (COPD)
292,Cart,Dalziel,517538385575,Male,34,O-,125/85,114.03,132,No,Lymphoma
293,Sylas,Ryles,934084366001,Male,43,O+,130/90,118.91,100,Yes,Multiple sclerosis
294,Ora,Jimmison,937467612851,Female,53,B+,125/85,233.75,189,No,Sickle cell anemia
295,Ysabel,Patington,646441897654,Female,26,A-,130/90,211.23,160,No,Rheumatoid arthritis
296,Betteanne,Boarer,116377947831,Female,33,O-,130/90,152.03,163,Yes,Insomnia
297,Odo,Wintour,837035290296,Male,25,B+,125/85,199.36,145,No,Alzheimer's disease
298,Walton,Kliemke,747746307772,Male,72,A-,110/70,118.7,168,Yes,Rheumatic fever
299,Teodorico,Fitchell,430727073469,Male,79,O+,110/70,121.29,196,Yes,Parkinson's disease
300,Raleigh,Tuma,645406969533,Male,88,AB+,130/90,296.24,168,Yes,Osteoporosis
301,Lou,MacQuaker,670314622657,Genderqueer,76,O-,110/70,257.17,127,Yes,Eczema
302,Marnie,Thomelin,110822887108,Bigender,87,O-,125/85,289.35,111,No,Brain tumor
303,Mead,Mattheeuw,539771309771,Female,16,B+,130/90,145.28,144,Yes,Myasthenia gravis
304,Rhodia,Pinyon,891480395469,Female,49,B+,130/90,233.38,91,Yes,Gastritis
305,Ara,Yetts,140112752334,Female,89,O-,140/95,154.01,76,No,Pancreatitis
306,Nanni,Bardey,564979871441,Female,72,AB-,120/80,183.67,114,Yes,Erectile dysfunction
307,Nert,Moscon,344160554707,Female,99,AB+,130/90,269.8,137,Yes,Chronic kidney disease
308,Laurianne,MacGuffie,409065205460,Genderfluid,69,AB+,120/80,185.81,90,No,Fibromyalgia
309,Archibaldo,O'Doireidh,881238331099,Male,66,B-,140/95,160.32,137,No,Cholera
310,Gussie,O'Scollee,472115982044,Female,38,B+,130/90,141.66,174,No,Parkinson's disease
311,Chandra,Lowdiane,468484108003,Female,52,AB+,130/90,280.33,86,Yes,Brain tumor
312,Terza,Deem,154692423395,Female,10,A+,140/95,149.1,68,No,Erectile dysfunction
313,Tonia,Stobo,672351203053,Female,24,AB-,130/90,161.63,110,No,Glaucoma
314,Melisandra,Grinsted,401473597173,Female,94,A+,110/70,112.84,122,Yes,Gastroesophageal reflux disease (GERD)
315,Ignacius,Paintain,440956890873,Male,46,A-,125/85,160.89,125,No,Fibromyalgia
316,Burton,Geldert,261103775482,Male,50,O-,110/70,235.39,67,No,Cancer
317,Elspeth,Bromby,287550287615,Female,13,A-,120/80,262.15,171,Yes,Cervical cancer
318,Bondon,Deerr,582416502529,Male,80,O+,110/70,239.94,196,No,Hemochromatosis
319,Mirna,Huthart,256578989840,Female,94,A-,130/90,112.69,188,Yes,Diabetes mellitus
320,Gwyn,Note,302748905234,Female,61,O-,130/90,203.98,133,No,Osteoarthritis
321,Dirk,Beacroft,810709790485,Male,80,AB+,120/80,286.32,144,No,Cirrhosis
322,Norbie,Phillipson,589050728219,Male,60,B-,130/90,258.85,150,Yes,Varicose veins
323,Garvy,Bartomeu,311290326816,Male,13,B+,130/90,248.61,114,No,Gout
324,Lou,D'Cruze,350825500449,Female,55,B-,110/70,113.54,140,No,Brain tumor
325,Tawnya,Castagne,177984286499,Female,32,B+,140/95,233.64,165,Yes,Turner syndrome
326,Bartram,Halversen,839306661669,Male,75,A+,140/95,169.98,197,No,Varicose veins
327,Kaleb,Yakutin,229631864614,Male,49,O+,120/80,196.18,68,No,Obsessive-compulsive disorder (OCD)
328,Jock,Maplestone,825898282794,Male,14,O-,130/90,155.9,175,Yes,Gout
329,Emmott,Lawland,286369230634,Genderqueer,9,AB-,125/85,251.78,183,Yes,Irritable bowel syndrome (IBS)
330,Andros,Tidgewell,454729084718,Male,72,A-,125/85,270.78,74,Yes,Erectile dysfunction
331,Leisha,Haddick,922549022512,Agender,58,B-,110/70,210.24,146,No,Kidney stones
332,Alyosha,Gudeman,587328720704,Male,62,A+,140/95,166.75,160,Yes,Ebola virus disease
333,Rita,Whyteman,678395719491,Female,95,O-,110/70,223.69,104,Yes,Meningitis
334,Culver,Olley,370258882371,Male,54,AB-,130/90,244.82,114,Yes,Gout
335,Aggie,Beauly,169656332100,Female,25,AB-,120/80,166.53,136,Yes,Addison's disease
336,Ernest,Ashling,326917279559,Male,15,A+,120/80,236.54,70,Yes,Non-melanoma skin cancer
337,Janessa,Piatkow,413525987144,Female,58,B-,140/95,197.81,170,No,HIV/AIDS
338,Eleen,Pietrusiak,297539546951,Female,78,B+,120/80,211.47,109,Yes,Psoriatic arthritis
339,Henri,Petrolli,996214148937,Polygender,11,O+,125/85,218.76,64,No,Thyroid disorders
340,Reeva,Macro,866062053196,Female,97,A+,140/95,103.74,89,Yes,Tourette syndrome
341,Antonino,Rawdall,557438979919,Male,8,B-,110/70,177.6,180,Yes,Glaucoma
342,Chance,Ducroe,982122794833,Male,70,O-,130/90,115.8,169,No,Ebola virus disease
343,Mathew,Rowledge,689239813971,Genderfluid,70,AB+,125/85,292.8,153,Yes,Cardiovascular disease
344,Janice,Hagwood,115227201370,Female,73,O+,110/70,189.45,182,No,Kidney cancer
345,Malena,Ivashnikov,582403559262,Female,64,AB-,120/80,131.68,196,Yes,Sickle cell anemia
346,Corella,McMillan,125605269349,Female,34,AB+,130/90,252.37,185,No,Gastroesophageal reflux disease (GERD)
347,Mia,Cabbell,348827570027,Female,35,O+,140/95,172.22,159,No,Cervical cancer
348,Bondy,Everill,660769468270,Male,22,B-,120/80,251.69,121,Yes,Sleep apnea
349,Lonee,Filipov,131559903087,Polygender,86,O-,130/90,100.43,105,Yes,Parkinson's disease
350,Philip,Waddam,179415887732,Bigender,43,AB+,120/80,215.02,83,No,Atherosclerosis
351,Gregor,Hiseman,796445462391,Male,36,O+,125/85,216.08,181,No,Diverticulitis
352,Craggy,Wittey,572798021497,Male,35,AB-,110/70,177.34,161,Yes,Cervical cancer
353,Lynnett,Pottage,899128135553,Female,41,O-,130/90,268.37,62,No,Diabetes mellitus
354,Clotilda,Pimblett,155035111297,Female,56,A-,125/85,180.16,135,No,Osteoarthritis
355,Cicely,Andreassen,364617109380,Female,90,AB+,140/95,216.27,189,No,Ulcerative colitis
356,Antonio,Cousens,772374548367,Male,102,AB-,140/95,150.95,87,No,Influenza
357,Base,Jelfs,722114064282,Male,89,AB-,125/85,138.99,89,No,Melanoma
358,Northrop,Fosken,284085088160,Male,18,AB-,140/95,178.54,133,No,Polycystic ovarian syndrome (PCOS)
359,Matthiew,Isakowicz,946927447972,Genderfluid,102,B-,110/70,178.68,186,Yes,Sleep apnea
360,Teodora,Whatling,849482551207,Female,81,A-,125/85,278.44,134,No,Osteoarthritis
361,Daisey,Kervin,609067257778,Female,103,O+,130/90,265.79,154,Yes,Diabetes mellitus
362,Kissie,Tuhy,377629781940,Female,61,B+,125/85,161.69,105,Yes,Arthritis
363,Lorianna,Stinchcombe,606284476342,Genderfluid,35,AB+,110/70,132.14,85,No,Varicose veins
364,Seumas,East,944575352762,Male,61,B+,125/85,169.18,79,No,Gastroesophageal reflux disease (GERD)
365,Wheeler,Deex,826287869882,Male,70,O-,125/85,121.53,135,Yes,Macular degeneration
366,Wittie,Gimert,597476265923,Male,46,AB-,140/95,127.44,164,No,Eczema
367,Vladamir,Kerford,864601378767,Male,21,AB+,125/85,266.48,158,No,Psoriatic arthritis
368,Adoree,Child,228699328464,Female,53,B+,130/90,153.77,97,Yes,Varicose veins
369,Janet,Chazotte,127877918676,Female,44,AB+,120/80,225.24,195,No,Asthma
370,Monti,Vize,764961304532,Male,38,O-,130/90,178.16,103,Yes,Eczema
371,Shoshana,Bellinger,530536042454,Female,77,B+,125/85,193.65,160,Yes,HIV/AIDS
372,Dulci,Feldmesser,238584893399,Polygender,6,B+,110/70,287.2,163,Yes,Kidney cancer
373,Hilary,McKea,670980984800,Genderqueer,32,A-,130/90,294.2,104,No,Kidney cancer
374,Giffer,Bartoszewski,700112629730,Male,64,O-,130/90,157.35,83,No,Bipolar disorder
375,Shepherd,Donet,689346367477,Male,3,A+,120/80,121.31,162,No,Gout
376,Kinsley,Ramsier,522273722368,Genderfluid,55,A+,120/80,249.86,60,Yes,Amyotrophic lateral sclerosis (ALS)
377,Zelma,Wellfare,288526143490,Female,91,B+,110/70,259.46,117,Yes,Tourette syndrome
378,Anni,MacCartan,429431066626,Non-binary,36,O+,125/85,112.41,82,No,Cholera
379,Aloysius,Girardoni,281779638276,Male,91,AB+,140/95,235.7,172,No,Rosacea
380,Austine,Satterly,860163321865,Female,96,B+,110/70,161.91,99,Yes,Osteomyelitis
381,Mira,Wonfor,270825328653,Female,5,B-,130/90,138.0,178,Yes,Pancreatitis
382,Lilias,Paulot,643933212687,Non-binary,34,O+,140/95,287.95,73,No,Anxiety disorders
383,Wilona,Moreinu,972203347995,Female,10,B+,140/95,219.0,169,No,Ovarian cancer
384,Rahel,Norssister,920719757341,Genderfluid,101,AB+,125/85,261.59,157,No,Gout
385,Garrick,Dust,790572183584,Male,46,AB-,125/85,107.18,71,No,Rheumatic fever
386,Jose,Lightbourn,366618226722,Male,93,A-,110/70,279.67,143,Yes,Insomnia
387,Maud,Cawthera,882613022765,Female,39,O-,130/90,229.3,176,No,Celiac disease
388,Ginevra,Dicte,391441362989,Female,58,B-,110/70,280.17,179,No,Schizophrenia
389,Aloin,Crickmore,650066939953,Male,59,O-,130/90,292.61,127,Yes,Parkinson's disease
390,Mal,Bofield,383350501428,Male,72,B+,125/85,226.62,89,Yes,Multiple sclerosis
391,Carroll,Acom,526365814836,Male,45,A+,120/80,279.89,167,No,Diabetes mellitus
392,Brooks,Drewry,626234036278,Male,31,AB+,125/85,273.95,91,Yes,Wilson's disease
393,Sadie,Snarr,488617062459,Female,92,O+,140/95,254.31,173,Yes,Tuberculosis
394,Dwayne,Rupp,994961764415,Male,96,AB-,110/70,246.11,88,Yes,Erectile dysfunction
395,Daniele,Davidovicz,472801800257,Female,69,O-,140/95,208.53,111,Yes,Thalassemia
396,Kurtis,Jolland,324277612610,Male,23,O+,110/70,205.51,161,No,Von Willebrand disease
397,Cristiano,Pach,700996071491,Male,67,AB-,130/90,179.46,119,Yes,Endometriosis
398,Desmund,Schelle,237885059140,Male,33,AB-,110/70,147.63,88,Yes,Thalassemia
399,Griffy,Goode,866738696260,Male,93,O+,120/80,209.25,91,Yes,Myasthenia gravis
400,Genny,Kenwood,786518528078,Female,35,A+,110/70,238.15,64,No,Parkinson's disease
401,Dara,Quene,502209859665,Female,80,A-,125/85,112.22,145,Yes,Ulcerative colitis
402,Bianka,Isaacson,688379293779,Female,6,AB-,120/80,260.13,183,No,Glioblastoma
403,Leigh,Clemente,875812073564,Male,38,A+,110/70,277.54,171,Yes,Hemochromatosis
404,Arny,Laughlin,768170987613,Male,20,B-,120/80,119.69,79,Yes,Multiple sclerosis
405,Merv,Beevens,711609356388,Male,7,B+,130/90,123.25,92,No,Diabetes mellitus
406,Linc,Gerardin,776551551087,Bigender,12,O-,130/90,200.53,190,No,Osteoarthritis
407,Remus,Nealon,693268435059,Male,20,O+,110/70,203.8,145,No,Depression
408,Shir,Eccles,183786049654,Female,11,AB-,140/95,182.82,167,Yes,Cirrhosis
409,Myrtice,Ansty,831005323390,Female,87,AB+,120/80,174.84,69,No,Malaria
410,Gun,Voysey,671878557823,Male,14,A+,120/80,195.36,133,Yes,Insomnia
411,Carmine,Ridesdale,527562748034,Male,91,A-,140/95,225.67,197,No,Bipolar disorder
412,Danell,Richardin,587655843971,Female,17,B+,130/90,230.08,96,Yes,Myeloma
413,Haze,Jarry,244352880772,Polygender,17,A-,110/70,288.03,148,Yes,Chronic obstructive pulmonary disease (COPD)
414,Misha,Ely,223953522821,Female,83,B+,125/85,297.96,76,Yes,Diverticulitis
415,Niall,Shilston,617971708039,Male,55,B-,130/90,103.08,109,No,Down syndrome
416,Maxim,Lethbury,215073247371,Male,3,AB+,140/95,190.81,107,Yes,Cirrhosis
417,Florella,Minogue,870482989195,Female,7,A-,120/80,156.69,200,Yes,Bladder cancer
418,Cammy,Frawley,621831909523,Male,24,O-,130/90,140.4,183,Yes,Varicose veins
419,Steven,Iacomo,271627948192,Male,16,A+,130/90,185.82,101,No,Von Willebrand disease
420,Saunders,Smails,838799634594,Male,101,AB-,120/80,118.66,185,Yes,Macular degeneration
421,Kayla,Kordes,126568059045,Female,98,O+,125/85,290.94,187,No,Lymphoma
422,Dollie,Warsap,238116188330,Female,50,AB+,120/80,260.2,70,Yes,Ulcerative colitis
423,Miner,Usborn,402067370167,Male,59,AB-,140/95,133.91,118,Yes,Cataracts
424,Murry,Rozec,891002187961,Polygender,59,O+,130/90,144.22,165,Yes,Varicose veins
425,Mason,Puller,848977350842,Male,64,A+,120/80,169.12,98,Yes,Ebola virus disease
426,Vicki,Wollard,360234758331,Female,31,A+,130/90,173.23,185,Yes,Glioblastoma
427,Jeremie,Collidge,172706631865,Male,14,B-,130/90,284.2,150,Yes,Ovarian cancer
428,Cross,Dymocke,716545315008,Male,16,B-,125/85,216.35,132,No,Brain tumor
429,Marsha,Ben,100308627653,Female,65,AB+,110/70,200.95,138,Yes,Schizophrenia
430,Say,Vonasek,741149380807,Male,75,A+,130/90,254.28,107,Yes,Attention-deficit/hyperactivity disorder (ADHD)
431,Nevil,Goldin,325298000074,Male,21,A+,130/90,186.06,139,No,Attention-deficit/hyperactivity disorder (ADHD)
432,Randa,Allderidge,148007121102,Female,57,AB+,125/85,241.83,81,No,Autism spectrum disorder
433,Fraser,Stephenson,968302342355,Male,58,O+,120/80,175.78,88,Yes,Ulcerative colitis
434,Bail,Noke,616639328470,Male,27,O-,130/90,250.59,136,Yes,Psoriatic arthritis
435,Bab,Mewes,339393097943,Female,56,A+,125/85,257.99,96,Yes,Polycystic kidney disease
436,Legra,Abramovitch,492078485721,Female,74,B+,125/85,269.94,91,Yes,Myeloma
437,Stefa,Hainey,265209778399,Female,72,AB+,110/70,134.13,189,Yes,Gastroesophageal reflux disease (GERD)
438,Aurelie,Washbrook,710690173159,Female,27,A+,110/70,147.87,118,Yes,Anxiety disorders
439,Keen,Volage,568210944235,Male,54,AB-,110/70,126.74,143,Yes,Endometrial cancer
440,Bibby,Crozier,679598862576,Female,35,B+,110/70,101.35,75,Yes,Gastroenteritis
441,Brian,Ibbitson,378894250225,Male,52,AB-,125/85,172.87,63,No,Insomnia
442,Bradford,Frawley,880362041586,Male,96,O+,140/95,214.48,66,No,Obsessive-compulsive disorder (OCD)
443,Fiorenze,Tomblett,970985885940,Female,101,O+,125/85,159.06,83,No,Chronic kidney disease
444,Meris,Richarson,183374532866,Female,101,A-,110/70,193.9,95,Yes,Obsessive-compulsive disorder (OCD)
445,Karoly,Tolley,890557419785,Polygender,43,A+,130/90,201.56,197,No,Gout
446,Geri,Schoenleiter,567583502606,Female,81,B-,120/80,131.28,174,Yes,Diabetes mellitus
447,Melba,Squier,197608780048,Female,47,O+,140/95,166.84,137,No,Rheumatic fever
448,Bruno,Duncombe,449298059546,Male,90,B+,130/90,288.2,93,Yes,Polycystic kidney disease
449,Brnaba,Gouley,189861663009,Male,86,A+,130/90,272.26,144,No,Polycystic kidney disease
450,Griff,Chritchlow,511961788705,Male,21,O+,130/90,207.55,171,No,Graves' disease
451,Morgan,Grinyakin,259768545571,Female,13,A-,140/95,263.27,169,No,Endometrial cancer
452,Alvie,Copner,821472973099,Male,39,AB-,120/80,165.67,86,No,Von Willebrand disease
453,Marsiella,McAuliffe,941115756844,Female,20,B-,110/70,261.45,193,No,Alzheimer's disease
454,Drucill,Wilmot,611575583023,Female,31,AB-,120/80,203.45,113,No,Brain tumor
455,Deena,Blachford,174842122544,Female,87,AB-,125/85,186.56,159,Yes,Obsessive-compulsive disorder (OCD)
456,Steven,Mayell,807720087859,Male,88,AB+,110/70,251.5,159,No,Von Willebrand disease
457,Bill,Edsell,927681278276,Male,90,AB+,130/90,289.66,180,Yes,Pneumonia
458,Milton,Colmore,757209346374,Male,10,AB-,120/80,203.87,140,No,Lymphoma
459,Norah,Alster,445032329542,Female,100,O+,140/95,114.54,94,Yes,HIV/AIDS
460,Brooke,Mowlam,909870870858,Female,78,A+,125/85,233.55,61,Yes,Cancer
461,Kikelia,Aireton,326633165133,Female,76,AB+,140/95,103.84,140,Yes,Lymphoma
462,Thaddeus,Castan,821964927311,Male,26,B+,120/80,232.5,167,No,HIV/AIDS
463,Fredrick,Dobbs,284521247060,Male,71,O-,110/70,185.88,159,Yes,Tuberculosis
464,Bo,Caspell,763065332053,Male,58,A-,125/85,119.43,84,Yes,Schizophrenia
465,Ingaborg,Jedrzaszkiewicz,142766084439,Female,90,AB+,110/70,239.08,124,Yes,Anxiety disorders
466,Goldarina,Barnsley,369910100314,Female,21,A+,130/90,160.79,192,Yes,Wilson's disease
467,Paulie,Blackborough,667233923423,Polygender,12,A-,110/70,103.67,74,Yes,Pancreatic cancer
468,Anett,Joutapavicius,468260426081,Bigender,29,B-,130/90,265.17,185,Yes,Rheumatoid arthritis
469,Barbaraanne,Saltman,675244945765,Female,68,B+,120/80,228.75,106,No,Diverticulitis
470,Dion,Donalson,399866876262,Male,29,A+,120/80,216.51,147,Yes,Atherosclerosis
471,Andy,Jakobssen,770168779112,Male,99,A-,125/85,255.75,65,Yes,Cataracts
472,Dael,Heinz,223503585656,Male,43,AB-,110/70,219.45,93,Yes,Myasthenia gravis
473,Benji,Akister,615824986492,Male,34,B+,140/95,175.3,63,Yes,Asthma
474,Justinn,Tringham,871724183933,Female,13,B+,120/80,169.44,139,Yes,Diabetes mellitus
475,Katinka,Clere,346663072125,Female,30,AB+,140/95,186.24,187,Yes,Peptic ulcer
476,Felipe,Lancetter,648319496575,Male,77,A-,130/90,230.15,150,No,Arthritis
477,Merralee,Rihanek,383014162827,Bigender,48,B-,125/85,224.92,126,No,Lymphoma
478,Baxie,Mosedill,670224470431,Male,37,A-,110/70,131.41,100,No,Testicular cancer
479,Rosaline,Brellin,391088968097,Female,8,O-,140/95,158.04,77,Yes,Myeloma
480,Archie,Osmon,721185657252,Bigender,79,AB-,140/95,110.56,68,Yes,Kidney cancer
481,Ashlee,Temperton,224696562086,Female,31,AB-,125/85,217.5,76,Yes,Psoriasis
482,Ike,Snepp,549206929834,Male,4,AB-,110/70,146.62,194,No,Schizophrenia
483,Meryl,Kiddye,160325046698,Female,81,B+,125/85,148.49,90,No,Leukemia
484,Xerxes,Mogra,293229621681,Male,87,A+,140/95,208.9,123,Yes,Kidney cancer
485,Rudy,Ivamy,413681029557,Male,93,B+,130/90,213.82,143,Yes,Glioblastoma
486,Claudio,Taffarello,457674150325,Genderfluid,94,O-,125/85,276.48,119,Yes,Fibromyalgia
487,Waldemar,Kisby,797633073590,Male,60,A-,130/90,245.34,152,Yes,Brain tumor
488,Abbott,Turfs,383557980603,Male,55,B+,130/90,138.3,113,No,Thyroid disorders
489,Wakefield,Reignould,171954155964,Male,22,O+,110/70,182.18,116,No,Gastroenteritis
490,Adolpho,Hoxey,532104548810,Male,25,A-,140/95,200.77,129,No,Lymphoma
491,Welby,Pagel,108175167949,Male,24,AB-,140/95,274.43,69,No,Pancreatic cancer
492,Derry,Doudny,503913288146,Male,64,AB+,130/90,274.17,162,No,Cholera
493,Robbi,Carey,198563844563,Female,82,O+,130/90,191.52,116,Yes,Brain tumor
494,Antonina,Kettlestring,219849880022,Female,86,A-,140/95,144.34,77,Yes,Lymphoma
495,Northrup,Crippell,709926744534,Male,11,O-,120/80,295.35,117,No,Chronic kidney disease
496,Basil,Furney,955167322589,Male,77,A+,120/80,128.11,110,Yes,Dengue fever
497,Pyotr,Westgarth,583955722721,Agender,93,A+,120/80,194.21,137,No,Lymphoma
498,Halimeda,Clare,636722868707,Female,49,AB+,110/70,163.45,98,No,Gastroenteritis
499,Matteo,Body,888606372323,Male,17,B+,120/80,128.74,179,Yes,Osteoporosis
500,Boot,Jeandon,997963215342,Genderfluid,22,O+,110/70,263.1,77,No,Lupus
501,Isaac,Ebbage,610932298229,Male,18,O-,125/85,230.83,176,No,Menopause
502,Holt,Sheraton,552139690486,Male,18,B-,120/80,195.96,113,Yes,Varicose veins
503,Alvis,Fulleylove,957401297405,Male,33,A-,110/70,155.53,157,No,Sleep apnea
504,Aili,Errett,572725105154,Female,102,A-,120/80,106.13,110,Yes,Asthma
505,Allard,Mazzey,732687438340,Male,99,B+,120/80,129.41,178,Yes,Osteoarthritis
506,Noelani,McCulley,770205700630,Female,42,O-,140/95,195.83,130,Yes,Kidney stones
507,Quintus,Andrejs,854313234987,Male,54,AB+,125/85,154.49,129,No,Hemophilia
508,Obadiah,Tendahl,862103401009,Male,91,A-,120/80,297.17,154,No,Irritable bowel syndrome (IBS)
509,Wendel,Kernock,558853583417,Male,35,B+,110/70,290.29,161,No,Parkinson's disease
510,Peg,Tomaszewicz,921882063419,Non-binary,32,AB+,130/90,241.54,90,Yes,Depression
511,Gilbert,Coventry,272078115405,Male,96,AB-,140/95,281.44,71,No,Cancer
512,Ambrosius,Pavelka,560162452067,Male,20,B+,140/95,130.48,121,No,Sleep apnea
513,Gunilla,Kleinbaum,437411091048,Female,95,B+,120/80,209.27,150,Yes,Crohn's disease
514,Eda,Death,498574504554,Female,98,O+,120/80,226.7,170,No,Cirrhosis
515,Janella,Nodin,996579471979,Female,33,A-,125/85,247.85,83,No,Von Willebrand disease
516,Darill,Vahl,399365239405,Male,11,O+,140/95,256.05,197,No,Graves' disease
517,Shaun,Brusby,172681613933,Male,89,B+,120/80,150.16,131,No,Parkinson's disease
518,Ludovika,Marchington,304154858095,Female,79,AB-,110/70,274.75,178,No,Varicose veins
519,Adara,Elgar,119480054386,Female,68,A-,120/80,113.43,113,No,Rosacea
520,Adlai,Harder,841531593333,Male,26,O+,130/90,287.65,170,Yes,Bipolar disorder
521,Bard,Heigold,633336517240,Male,10,B-,130/90,296.62,123,No,Endometriosis
522,Vanni,Cogley,136489767554,Female,38,O+,130/90,179.53,80,Yes,Tuberculosis
523,Harlan,Mays,292424610436,Male,12,A-,125/85,204.02,169,No,Graves' disease
524,Dreddy,Styles,248662569604,Female,31,O-,110/70,177.54,67,Yes,Autism spectrum disorder
525,Maxwell,Heintz,234690228870,Male,42,A-,110/70,107.82,60,No,Fibromyalgia
526,Jennilee,Francioli,227629085319,Female,62,O-,140/95,267.76,122,No,Cataracts
527,Hilde,Cadman,976388952711,Female,64,AB+,125/85,280.02,95,No,Eczema
528,Gussy,Fardy,814948307597,Female,37,O-,110/70,194.84,120,No,Pancreatitis
529,Aubrey,Fessions,769517597332,Male,90,B+,125/85,106.31,111,No,Wilson's disease
530,Dredi,Orr,203022586532,Female,34,A+,125/85,281.27,117,Yes,Addison's disease
531,June,Curedale,997529481903,Female,84,O-,130/90,105.43,193,Yes,Melanoma
532,Alfi,Ratlee,249073849011,Female,48,A+,130/90,201.84,130,No,Pancreatitis
533,Mala,Hagan,802001932991,Female,52,AB-,140/95,192.61,191,No,Malaria
534,Nickola,Demare,179187249856,Male,22,A-,120/80,122.24,118,No,Huntington's disease
535,Corinna,Lillecrap,641355453121,Female,15,AB-,140/95,226.32,177,No,Hepatitis
536,Taber,Spurr,660352897730,Male,78,A-,120/80,209.63,135,Yes,Rheumatoid arthritis
537,Sallie,Binden,909267579587,Female,73,O-,140/95,235.57,151,Yes,Acne
538,Katusha,Pottle,893589279427,Female,22,AB+,120/80,220.13,182,No,Arthritis
539,Nicolina,Sibbet,367297131206,Female,97,O+,140/95,297.22,88,Yes,Endometriosis
540,Thibaud,Ondrich,896325497543,Male,67,B+,120/80,116.06,175,Yes,Peptic ulcer
541,Kelvin,Hacquel,595326546635,Male,67,AB+,130/90,193.4,175,Yes,Psoriatic arthritis
542,Vernon,Dollen,486675223248,Male,5,AB-,120/80,139.51,126,No,Varicose veins
543,Cozmo,Abelevitz,659161944787,Male,18,B-,110/70,102.69,166,Yes,Tuberculosis
544,Melli,Gaitley,543051559639,Female,57,O-,130/90,155.51,110,Yes,Eczema
545,Marcel,Tipping,857383391962,Polygender,47,A+,110/70,261.48,169,Yes,Cervical cancer
546,Jarib,Klyner,376811533020,Male,39,AB+,130/90,206.69,156,No,Chronic obstructive pulmonary disease (COPD)
547,Celestina,Nelligan,272364270306,Non-binary,50,AB-,140/95,127.93,163,Yes,Gastritis
548,Shamus,Romaynes,270754976484,Male,40,A+,110/70,201.44,114,Yes,Thrombosis
549,Pooh,Trineman,151956714244,Female,62,AB+,125/85,133.06,94,Yes,Rheumatoid arthritis
550,Gwennie,Bosward,195284300555,Female,69,O-,110/70,263.02,162,Yes,Myasthenia gravis
551,Henrieta,Cicchitello,432579818254,Female,85,B+,110/70,226.95,137,No,Testicular cancer
552,Candice,Capelle,186076099343,Female,21,B+,110/70,112.99,183,Yes,Bladder infection
553,Kathie,Dorin,984276955921,Female,44,AB+,120/80,258.75,144,No,Polycystic kidney disease
554,Freda,Hurtado,873233945366,Female,65,AB+,140/95,244.49,186,Yes,Thalassemia
555,Claudette,Clampton,499913151257,Female,64,A+,130/90,255.33,151,Yes,Lupus
556,Aurelie,Linfoot,976996553497,Female,95,AB-,125/85,228.59,106,Yes,Hepatitis
557,Scotti,Hayles,337031631659,Male,32,B-,125/85,170.53,200,Yes,Ovarian cancer
558,Jarrett,Accum,553426621231,Male,53,A-,125/85,263.67,151,No,Crohn's disease
559,Gabriellia,Jennions,862387696435,Female,55,O-,110/70,138.48,67,Yes,Dengue fever
560,Dannie,Gaveltone,789329318712,Female,73,O-,140/95,290.21,152,Yes,Rheumatoid arthritis
561,Sutherlan,Kinavan,812712235833,Male,60,AB+,120/80,157.38,143,Yes,Parkinson's disease
562,Tallie,Danson,343245288257,Female,30,AB+,130/90,121.56,93,Yes,Brain tumor
563,Kahaleel,Heymann,538254586691,Male,16,O+,110/70,249.47,196,No,Arthritis
564,Vin,Hedingham,165570065224,Female,30,B+,110/70,115.7,155,Yes,Lupus
565,Irv,Richarz,593228247888,Male,63,A-,140/95,185.48,166,Yes,Crohn's disease
566,Valle,Getcliffe,438577967955,Male,13,A+,125/85,177.53,142,Yes,Macular degeneration
567,Ingaberg,Worswick,840691594070,Female,6,B+,130/90,234.13,173,Yes,Varicose veins
568,Elspeth,Sarfat,958536495960,Genderfluid,67,AB-,125/85,195.78,79,No,Hypertension
569,Phylys,Henriques,910261556058,Female,22,A-,140/95,172.13,76,Yes,Asthma
570,Hildagarde,MacGowing,889769481051,Female,18,AB+,130/90,187.55,92,No,Fibrosis
571,Spike,Cyseley,988775584603,Male,4,A-,130/90,156.89,130,Yes,Brain tumor
572,Jandy,Sime,682529305439,Female,71,B+,120/80,133.94,107,Yes,Sleep apnea
573,Virgie,Rowat,169038533474,Female,87,B-,120/80,142.43,130,Yes,Hypertension
574,Lyman,Warboys,193156928357,Male,11,AB+,110/70,222.85,125,Yes,Premenstrual syndrome (PMS)
575,Maxy,Umpleby,736099365735,Male,81,B+,125/85,200.28,179,No,Fibromyalgia
576,Kippie,Konrad,248217686891,Female,41,O+,110/70,141.71,199,Yes,Osteoporosis
577,Gavan,Domotor,933217481585,Male,37,AB-,120/80,215.34,62,Yes,Premenstrual syndrome (PMS)
578,Allie,Wooff,444033323897,Female,8,A+,130/90,140.12,78,Yes,Myeloma
